Team,Logo,42,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West Virginia,,25,1,0,2,5,1,2,5,4,2,3,3,4,1,3,3,0,1,2,1,2,0,0,4,6,1,2,4,1,3,2,2,0,,,,,,,,,,
Northwestern,,12,4,0,0,1,1,2,2,2,0,0,2,3,3,0,0,0,3,3,0,1,3,2,1,3,2,3,0,2,2,0,1,1,,,,,,,,,,
Miami,,42,3,1,4,5,6,9,2,7,3,2,6,8,4,1,3,5,9,5,9,8,11,7,5,3,2,8,2,7,2,9,6,11,,,,,,,,,,
Stanford,,39,5,1,2,5,4,2,5,6,6,3,4,4,3,0,0,3,4,6,3,4,6,2,2,0,5,4,1,4,1,5,4,2,,,,,,,,,,
USF,,11,0,0,0,0,2,3,0,2,1,3,0,3,5,1,2,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Virginia Tech,,24,1,4,1,0,5,4,2,2,3,2,3,3,5,1,8,3,9,3,5,2,8,3,5,2,4,4,2,2,3,0,5,1,,,,,,,,,,
WMU,,9,1,1,0,0,2,3,2,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,,,,,,,,,,
Colorado,,12,0,0,3,1,1,4,0,0,1,2,2,4,0,1,2,2,4,0,2,6,5,0,4,3,6,6,5,10,6,5,4,9,1,0,3,2,4,1,4,0,3,3
Louisville,,25,3,0,1,0,4,2,1,10,4,0,1,3,0,2,5,4,4,6,0,4,1,1,2,0,0,4,2,1,1,2,1,4,,,,,,,,,,
UNC,,30,4,4,2,1,3,6,0,0,5,5,2,9,2,5,2,0,1,3,3,1,6,4,1,6,7,5,2,5,4,4,6,1,,,,,,,,,,
Iowa St,,12,3,4,0,2,0,0,0,0,1,2,1,1,1,0,2,1,1,1,0,1,1,3,0,0,1,2,0,0,0,0,0,3,,,,,,,,,,
Arizona,,7,0,0,0,1,1,0,2,0,3,0,3,3,3,2,4,4,1,0,0,3,0,2,5,4,3,2,2,4,4,4,2,2,,,,,,,,,,
Georgia Tech,,12,1,1,1,0,0,1,2,3,3,0,1,1,4,4,3,2,3,0,5,0,2,0,3,3,2,0,2,3,2,2,5,2,,,,,,,,,,
Arizona St,,22,1,4,2,2,3,1,2,4,3,0,2,1,3,2,5,2,2,3,2,3,4,3,6,2,5,8,1,5,2,2,5,7,,,,,,,,,,
Missouri,,23,1,2,2,2,1,1,3,5,4,2,1,3,1,6,2,1,2,3,2,1,0,1,1,1,2,0,1,0,1,1,1,4,,,,,,,,,,
Duke,,8,0,0,0,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,,,,,,,,,,
Vanderbilt,,12,0,0,1,2,1,2,1,0,3,2,2,0,2,1,3,0,1,2,0,1,0,4,0,1,3,0,1,0,0,0,1,0,,,,,,,,,,
SJSU,,9,1,0,0,1,1,0,2,1,2,1,0,0,0,3,1,2,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,,,,,,,,,,
NIU,,6,0,0,0,2,0,1,0,1,2,0,1,0,0,1,0,2,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Nebraska,,21,2,3,2,0,1,1,4,3,3,2,4,7,3,3,3,4,4,4,5,4,4,7,3,7,6,8,6,7,5,6,7,6,,,,,,,,,,
USM,,10,1,0,1,0,3,0,2,1,1,1,1,0,0,2,1,0,0,2,3,1,2,4,4,0,4,0,0,0,1,0,3,3,,,,,,,,,,
Nevada,,6,0,2,0,0,1,0,0,0,1,2,4,3,0,1,0,1,1,0,2,1,0,0,0,0,3,1,1,0,0,2,0,2,,,,,,,,,,
Maryland,,22,5,2,2,4,2,0,3,2,1,1,0,2,2,5,1,2,3,2,5,1,3,2,2,2,1,1,1,1,0,1,2,3,,,,,,,,,,
Tulsa,,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,2,1,4,0,,,,,,,,,,
Texas Tech,,14,1,2,2,1,2,1,3,0,2,0,0,1,1,4,0,3,1,3,2,2,1,1,2,2,1,1,2,0,3,0,2,1,,,,,,,,,,
CMU,,9,1,2,0,2,1,0,1,1,0,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,
Kansas,,8,0,1,1,0,1,0,0,4,0,1,0,0,3,0,4,0,0,1,1,0,2,1,0,0,1,3,4,2,1,2,2,1,,,,,,,,,,
Boston College,,21,1,1,1,4,3,2,2,3,4,0,1,1,1,2,3,2,3,0,2,3,2,1,3,3,2,2,2,4,2,1,1,1,,,,,,,,,,
Hawaii,,3,0,0,1,2,0,0,0,0,0,0,1,3,0,3,1,5,0,1,2,3,1,1,3,0,0,0,0,0,1,3,1,0,,,,,,,,,,
Illinois,,16,4,3,0,1,0,1,3,0,0,4,4,4,3,3,1,1,0,2,2,5,1,2,2,1,1,1,3,4,1,1,3,6,,,,,,,,,,
Rutgers,,17,1,2,0,2,2,0,1,2,0,7,1,0,3,5,2,6,0,0,2,1,0,1,0,0,0,0,2,1,1,0,1,0,,,,,,,,,,
California,,21,1,2,3,0,2,3,4,0,2,4,6,4,3,3,6,4,3,5,2,4,2,2,4,4,4,3,5,3,5,3,4,5,,,,,,,,,,
Virginia,,15,1,1,2,2,2,0,1,2,3,1,1,1,1,4,3,2,5,7,1,2,3,1,4,6,2,6,1,3,2,4,3,4,,,,,,,,,,
M-Oh,,4,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,2,0,0,1,2,2,1,0,0,0,0,0,0,0,,,,,,,,,,
Purdue,,17,5,3,2,0,1,1,1,1,2,1,2,1,1,2,3,3,4,1,9,1,2,5,2,2,3,0,1,1,0,1,1,2,,,,,,,,,,
BGSU,,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,
Colorado St,,9,0,1,0,1,1,0,2,2,2,0,0,0,1,1,0,1,1,1,3,0,0,2,2,4,1,1,4,0,0,0,1,0,,,,,,,,,,
Toledo,,9,1,2,0,2,1,3,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,2,1,,,,,,,,,,
Marshall,,6,0,1,2,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,3,1,1,4,0,2,0,0,0,0,1,0,0,,,,,,,,,,
Wyoming,,10,0,1,2,1,1,2,0,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,3,1,2,1,0,1,2,,,,,,,,,,
ECU,,2,0,0,0,0,0,1,0,1,0,0,0,1,3,1,1,1,1,0,1,0,1,0,0,2,1,1,2,0,2,1,5,1,,,,,,,,,,
App St,,9,2,1,2,0,1,0,1,0,0,2,1,3,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,,,,,,,,,,
WKU,,13,1,2,0,0,2,2,3,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
SMU,,10,1,2,1,0,3,0,0,0,2,1,4,1,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,,,,,,,,,,
