Team,Logo,42,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Wisconsin,,105,2,7,17,9,16,15,9,13,15,2,16,16,5,6,12,10,12,16,6,7,3,8,16,16,4,0,5,8,14,0,0,0,0,0,0,0,0,1,0,0,2,0
Auburn,,89,0,9,17,7,16,10,3,17,10,0,7,16,1,7,11,16,12,16,4,6,5,13,0,1,18,14,17,17,13,0,7,15,17,17,16,15,16,16,16,5,0,4
Memphis,,23,0,0,9,0,9,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,4,6,0,0,0,0,0,0,0
Navy,,17,0,0,6,0,1,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force,,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,8,6,0,1,0,0,0,1,0,4,0,0,0,13,0,4,0,0,0
Boise St,,55,0,0,16,8,3,9,4,4,1,10,16,16,16,13,8,13,1,14,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCF,,48,5,0,7,16,11,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington St,,34,0,0,4,9,15,4,2,0,0,0,0,0,0,0,0,1,0,0,14,18,10,0,0,0,14,0,0,13,1,9,0,0,7,6,0,0,0,0,0,0,7,0
Syracuse,,14,5,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,15,9,12,7,7,9,17,16,0,6,9,11,0,0,0,0,0,0,0
Texas A&M,,90,5,14,8,8,0,12,8,8,17,10,9,6,0,0,4,6,1,9,0,7,3,5,16,16,13,4,17,17,17,17,15,9,15,2,10,15,5,0,0,0,0,0
Army,,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
West Virginia,,48,0,0,0,16,7,11,1,3,0,10,13,8,5,6,16,16,9,13,4,4,0,0,0,9,4,10,2,1,12,1,0,2,17,17,0,0,0,5,14,14,1,0
Northwestern,,30,0,0,0,4,4,0,11,0,7,4,0,0,0,3,0,0,2,0,0,0,7,10,0,0,2,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami,,47,4,3,0,7,16,7,0,0,10,0,0,9,15,1,0,3,16,16,17,18,17,17,15,7,5,18,10,17,17,17,16,16,17,17,16,15,9,16,12,9,12,6
Stanford,,85,0,0,2,7,12,9,14,8,17,16,16,15,4,0,0,0,0,0,0,0,11,0,2,0,9,0,4,2,5,17,5,0,0,0,0,5,0,0,0,0,2,6
USF,,21,0,0,0,3,15,3,0,0,0,0,4,0,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Tech,,39,0,2,2,5,15,8,0,1,3,3,16,11,16,6,16,14,16,9,14,18,17,17,17,12,11,13,9,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0
WMU,,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
