Conference,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Houston Bowl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TCU,Colorado,Texas Tech,Oklahoma St,Texas A&M,ECU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Little Caesers,-,-,-,-,-,-,-,-,Pitt,CMU,Purdue,FIU,Marshall,FAU,Purdue,CMU,Memphis,UConn,BGSU,Boston College,Toledo,Marshall,Marshall,Marshall,Ole Miss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Silicon Valley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NIU,Fresno St,Fresno St,Michigan St,Air Force,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dukes Mayo,Maryland,S Carolina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fenway,Louisville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lending Tree,USM,Liberty,Louisiana,Troy,App St,Troy,Georgia S,Toledo,Arkansas St,Arkansas St,NIU,M-Oh,CMU,Tulsa,Tulsa,USM,Toledo,BGSU,M-Oh,Marshall,Marshall,USM,TCU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
All American,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NC State,Texas Tech,Florida,Virginia,FSU,Georgia Tech,Kentucky,West Virginia,Air Force,Mississippi St,Arkansas
Aloha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boston College,Wake Forest,Colorado,Washington,Navy,Kansas,Boston College,Colorado,Kansas,Georgia Tech,Syracuse,Michigan St,Washington St,UCLA,Arizona,Alabama,SMU,Penn St,Washington,-,-
California Bowl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BGSU,SJSU,Fresno St,Fresno St,EMU,SJSU,Fresno St,UNLV,NIU,Fresno St,Toledo,-
Freedom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Utah,USC,Fresno St,Tulsa,Colorado St,Washington,BYU,Arizona St,UCLA,Washington,Iowa,-,-,-,-
Seattle Bowl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wake Forest,Georgia Tech,Georgia,Hawaii,Air Force,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bluebonnet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Texas,Baylor,Air Force,West Virginia,Oklahoma St,Arkansas,Michigan,UNC
Cherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maryland,Army,-,-,-,-
Garden St,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tennessee,Houston
